pwrs 0.0.0.1
pwrb 0.0.0.2
nmps 0.0.1.1
tlog 0.0.1.2
dataq 0.0.1.3
remote 0.0.1.4
simul 0.0.0.8
miscellaneous 0.0.0.9
basecomponent 0.0.0.10
sev 0.0.0.11
profibus 0.0.250.7
opc 0.0.250.9
othermanufacturer 0.0.250.1
otherio 0.0.250.10
abb 0.0.250.2
siemens 0.0.250.3
telemecanique 0.0.250.4
ssabox 0.0.250.5
klocknermoeller 0.0.250.6
inor 0.0.250.8
zigbee2mqtt1 0.0.250.10
zigbee2mqtt2 0.0.250.11
zigbee2mqtt3 0.0.250.12
zigbee2mqtt4 0.0.250.13
zigbee2mqtt5 0.0.250.14
zigbee2mqtt6 0.0.250.15
zigbee2mqtt7 0.0.250.16
zigbee2mqtt8 0.0.250.17
zigbee2mqtt9 0.0.250.18
wb 254.254.254.254
rt 254.254.254.245
